"","sfc","samp.depth"
"1683",0.733778835224182,5
"1684",0.577760744887013,5
"1685",0.487438783805341,6
"1686",0.582063456501364,7
"1687",0.428794117053714,7
"1688",0.497470845290294,7
"1689",0.694984139318317,7
"1690",0.718082466728738,7
"1691",0.670925078140179,7
"1692",0.717150469349735,7
"1693",0.540302039600322,7
"1694",0.659520151285808,7
"1695",0.622704394036449,7
"1696",0.791209229795495,7
"1697",0.588068722040484,7
"1698",0.487209556343966,7
"1699",0.559423506987528,7
"1700",0.521396891006188,7
"1701",0.402184679574292,7
"1702",0.566982347950772,7
"1703",0.625785687067122,7
"1704",0.61204060019011,7
"1705",0.638559077656779,7
"1706",0.712417171039355,7
"1707",0.863582094378853,7
"1708",1.27209902751259,7
"1709",1.34319287398808,7
"1710",1.19216763654052,8
"1711",0.859449378031037,8
"1712",0.757715723565814,8
"1713",0.743045606223256,8
"1714",1.00180060375699,9
"1715",1.14443909791039,9
"1716",1.05889620586152,9
"1717",0.923210852706137,11
"1718",0.775817524180841,11
"1719",0.981496341584366,11
"1720",1.20019856935304,11
"1721",0.977716217755878,11
"1722",1.17046017361439,11
"1723",1.29660749133901,11
"1724",0.99328195426654,11
"1725",1.2653209471225,11
"1726",0.956669699626939,11
"1727",1.17001568605617,11
"1728",0.784084656336924,11
"1729",1.00753447571452,11
"1730",0.875056935642121,11
"1731",0.912912633764131,12
"1732",0.874569076336137,13
"1733",0.96830011916455,13
"1734",0.8636872877197,13
"1735",0.917313611918935,14
"1736",0.695272900377093,14
"1737",0.988145711750478,14
"1738",0.709056163938173,14
"1739",0.664732298035624,14
"1740",0.638507137430665,15
"1741",0.612600520688603,15
"1742",0.599502609922045,16
"1743",0.717409367391908,16
"1744",0.678951503603298,16
"1745",0.848213967538016,16
"1746",0.927644163735959,16
"1747",0.951580175944553,16
"1748",1.0164881570497,16
"1749",1.23129749115321,16
"1750",1.14953705762014,16
"1751",0.960348695246541,16
"1752",1.14589976033163,16
"1753",1.26959880978642,16
"1754",1.11602445295575,16
"1755",0.874437601642786,16
"1756",1.32110534139105,16
"1757",0.80821429945445,16
"1758",1.28872166581681,16
"1759",1.03926021558164,16
"1760",1.27284543940238,16
"1761",1.58327220735321,16
"1762",1.24937130105032,17
"1763",1.27841756273637,17
"1764",1.09470303365249,17
"1765",0.889839100697755,17
"1766",1.10842679744307,17
"1767",1.32976072463537,18
"1768",1.60017557498412,18
"1769",1.52223790410191,18
"1770",1.70913359966092,18
"1771",1.10000899022674,18
"1772",1.83731076908057,18
"1773",1.59375278354926,18
"1774",1.39522652622137,18
