"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1901,10.5,7.5,6.90000009536743,3.79999995231628,13.5,42.6000022888184,49.4000015258789,39.2000007629395,14.6999998092651,2.79999995231628,7.40000009536743,7.90000009536743
"2",1902,10.5,7.5,6.90000009536743,3.79999995231628,13.5,42.6000022888184,49.4000015258789,39.2000007629395,14.6999998092651,2.79999995231628,7.40000009536743,7.90000009536743
"3",1903,9.10000038146973,9,10,2.90000009536743,9.10000038146973,28.3999996185303,45.5,39.2000007629395,10,1.80000007152557,5.59999990463257,4.30000019073486
"4",1904,6.40000009536743,7.80000019073486,5.70000028610229,2.40000009536743,9.80000019073486,27.7000007629395,47.5,47.7000007629395,9.5,2.10000014305115,4.40000009536743,7.40000009536743
"5",1905,16.2000007629395,8.90000057220459,3.79999995231628,2.40000009536743,16.7000007629395,43.7999992370605,78.8000030517578,47.7999992370605,10.5,2.20000004768372,11,4.90000009536743
"6",1906,29.7000007629395,6.20000028610229,5.30000019073486,4.70000028610229,11.1000003814697,26.3999996185303,68,27.1000003814697,3.90000009536743,1.20000004768372,7.30000019073486,9
"7",1907,17.3999996185303,7.5,6.70000028610229,2.10000014305115,7.59999990463257,40.7000007629395,41.2999992370605,33.1000022888184,45.9000015258789,6.40000009536743,2.40000009536743,5.70000028610229
"8",1908,7.70000028610229,5.80000019073486,8.69999980926514,2.10000014305115,14.6000003814697,24.6000003814697,19.1000003814697,14,21.3000011444092,1.5,3.5,7.20000028610229
"9",1909,14.6000003814697,1.60000002384186,1.70000004768372,6.80000019073486,13.8000001907349,41.2000007629395,43.9000015258789,37.1000022888184,6.40000009536743,2.10000014305115,4.80000019073486,7.80000019073486
"10",1910,17.1000003814697,2.5,1.80000007152557,3.79999995231628,10.1000003814697,51.4000015258789,17.7000007629395,31.2000007629395,23.7000007629395,1.80000007152557,4.30000019073486,7.20000028610229
"11",1911,14.4000005722046,15.1999998092651,5.90000009536743,4.80000019073486,24.3999996185303,26.8999996185303,41.7999992370605,36.5,14.5,2.10000014305115,4.80000019073486,11.5
"12",1912,6.40000009536743,8.5,10.1000003814697,2.10000014305115,20.5,51.5,43.7000007629395,43.7999992370605,12.9000005722046,2.79999995231628,4.40000009536743,5.90000009536743
"13",1913,8.60000038146973,7.80000019073486,13.4000005722046,0.200000002980232,15.6000003814697,11.6000003814697,51.6000022888184,58.2999992370605,8.5,3.20000004768372,9.30000019073486,2.70000004768372
"14",1914,7.30000019073486,6.59999990463257,15.8000001907349,7.40000009536743,13.5,36.9000015258789,51.7999992370605,32,17.1000003814697,0.300000011920929,4,18.8999996185303
"15",1915,3.5,17.7000007629395,22,2.90000009536743,3.70000004768372,49.5,38.5,55.1000022888184,40.4000015258789,2.10000014305115,5.59999990463257,4.5
"16",1916,35.6000022888184,9.30000019073486,0.699999988079071,3.10000014305115,20.5,54,52.1000022888184,47.6000022888184,20.2000007629395,5.90000009536743,7.70000028610229,11.8000001907349
"17",1917,10.3000001907349,11.6999998092651,3.20000004768372,2.29999995231628,7.20000028610229,31.5,102.700004577637,24.7000007629395,7,1.80000007152557,3.90000009536743,1.70000004768372
"18",1918,8.60000038146973,21.7000007629395,33.1000022888184,10.6999998092651,9.69999980926514,36.5,51.9000015258789,35.9000015258789,5,1.39999997615814,4.30000019073486,4.70000028610229
"19",1919,3.60000014305115,0.200000002980232,0.400000005960464,1.20000004768372,26.3000011444092,53.2000007629395,68.8000030517578,21.1000003814697,16.3999996185303,3.10000014305115,11,8.40000057220459
"20",1920,5.30000019073486,16.8999996185303,12.8000001907349,1.20000004768372,6,29.1000003814697,28.6000003814697,30,13.1999998092651,1.20000004768372,2.10000014305115,5.80000019073486
"21",1921,19.8999996185303,3.90000009536743,19.6000003814697,0.300000011920929,16.1000003814697,27,30.8999996185303,23.7000007629395,17.1000003814697,6.30000019073486,1.20000004768372,7.5
"22",1922,13.8000001907349,9.30000019073486,3.20000004768372,1.5,13.1999998092651,25.3999996185303,129.900009155273,13.6999998092651,18.1000003814697,4,4.20000028610229,2.60000014305115
"23",1923,19,14.6999998092651,13.9000005722046,1,32.9000015258789,47.2000007629395,18.6000003814697,15.6000003814697,20.8999996185303,0.300000011920929,3.60000014305115,1.39999997615814
"24",1924,11.6999998092651,3.90000009536743,2,4.90000009536743,9.30000019073486,33.9000015258789,60.5,43.5,16.7000007629395,3.10000014305115,3.29999995231628,6.90000009536743
"25",1925,6.80000019073486,10.3000001907349,10.1999998092651,3.40000009536743,5.59999990463257,33.4000015258789,36.2000007629395,20.5,38.7999992370605,2.5,11.1000003814697,3.10000014305115
"26",1926,6.09999990463257,3.10000014305115,6.20000028610229,5.70000028610229,21.5,31.6000003814697,67.4000015258789,18.8000011444092,33.6000022888184,4,2.5,5.20000028610229
"27",1927,18.3999996185303,4.70000028610229,9,2.10000014305115,7.09999990463257,33.7000007629395,12.6999998092651,26.2000007629395,13,1.89999997615814,1.60000002384186,8.80000019073486
"28",1928,9.80000019073486,15,8.90000057220459,1.70000004768372,14.5,40.6000022888184,22.7000007629395,34.2000007629395,16,1,7.40000009536743,7.20000028610229
"29",1929,28.7000007629395,15.9000005722046,7.5,9.40000057220459,31.8000011444092,41.2999992370605,79.7000045776367,29.8999996185303,9.30000019073486,3.10000014305115,5.5,5.70000028610229
"30",1930,8.40000057220459,5.70000028610229,14.6999998092651,2.40000009536743,9,60.1000022888184,24.1000003814697,123.5,21.1000003814697,2.90000009536743,6.20000028610229,3.10000014305115
"31",1931,4.5,6.20000028610229,2.79999995231628,1.10000002384186,14.8000001907349,36.6000022888184,32.6000022888184,53.4000015258789,25.1000003814697,2.90000009536743,4.70000028610229,13.3000001907349
"32",1932,19.3000011444092,29.3999996185303,1.39999997615814,0.800000011920929,4.40000009536743,40.9000015258789,57.2999992370605,60.6000022888184,16.8999996185303,1.70000004768372,1.89999997615814,1.39999997615814
"33",1933,17.5,8.60000038146973,1.10000002384186,1.39999997615814,17.3999996185303,38.1000022888184,31.6000003814697,35.7000007629395,9.90000057220459,2.5,7.40000009536743,9.40000057220459
"34",1934,10.6000003814697,1.5,5.20000028610229,4.20000028610229,8.30000019073486,14.5,52.2000007629395,66.7000045776367,11.9000005722046,0.900000035762787,1.30000007152557,5.5
"35",1935,15.6000003814697,10.1999998092651,25.8000011444092,1.89999997615814,17.3999996185303,34.1000022888184,45.7999992370605,37.4000015258789,26.8000011444092,7,21.7000007629395,1
"36",1936,1,6.59999990463257,7.09999990463257,0.200000002980232,12.5,27.8000011444092,59.7000007629395,60.7000007629395,30.5,5.40000009536743,11.4000005722046,8.80000019073486
"37",1937,10.5,9.10000038146973,0.400000005960464,6.5,4.59999990463257,29.5,39.4000015258789,72.5999984741211,9.10000038146973,3,3.5,2.90000009536743
"38",1938,8.80000019073486,10.1999998092651,4.40000009536743,1,7.70000028610229,17.7000007629395,71.0999984741211,63.7000007629395,11.1999998092651,0.600000023841858,5.40000009536743,4.5
"39",1939,11.1000003814697,4.80000019073486,5.5,0.300000011920929,18.6000003814697,57.7000007629395,53.2999992370605,29.8000011444092,19,1.89999997615814,5.80000019073486,0.800000011920929
"40",1940,24.8999996185303,1.30000007152557,0.600000023841858,1.39999997615814,25.3000011444092,44.9000015258789,22,26.8999996185303,15.1000003814697,1.5,5.09999990463257,4.70000028610229
"41",1941,4.20000028610229,1.80000007152557,6.09999990463257,6,28.6000003814697,35.2999992370605,57.2999992370605,26.8000011444092,15.4000005722046,2.60000014305115,6.70000028610229,4
"42",1942,5.40000009536743,4.40000009536743,5.5,2.5,8.10000038146973,53.6000022888184,41.9000015258789,57,29.6000003814697,2.20000004768372,8,2
"43",1943,9.40000057220459,4.70000028610229,14.9000005722046,1,10.8000001907349,21.1000003814697,38.6000022888184,56.7999992370605,16.5,2.5,3.29999995231628,9.5
"44",1944,5.30000019073486,18.8999996185303,17,0.699999988079071,19.8999996185303,33.7999992370605,35.9000015258789,62.5,23.3000011444092,2.40000009536743,2.29999995231628,9.5
"45",1945,1.80000007152557,8,9.10000038146973,3.70000004768372,12.6999998092651,65.7000045776367,64.7000045776367,65.9000015258789,25.3000011444092,3.40000009536743,6.30000019073486,2.40000009536743
"46",1946,6.30000019073486,6.20000028610229,5.30000019073486,1.70000004768372,25.5,29.3999996185303,33.9000015258789,40,14.9000005722046,3.70000004768372,4,8.10000038146973
"47",1947,21.8000011444092,1.89999997615814,3.10000014305115,3.20000004768372,7.70000028610229,20.3999996185303,34.5,43.1000022888184,24,1.70000004768372,6.80000019073486,4.59999990463257
"48",1948,11.3000001907349,9,9.19999980926514,4.5,19.8000011444092,49.6000022888184,73.4000015258789,50.5,11,1.60000002384186,6.59999990463257,9.19999980926514
"49",1949,18.8000011444092,16.8000011444092,4,1.89999997615814,14.8000001907349,66.2000045776367,91.8000030517578,26.6000003814697,6,2.40000009536743,2.29999995231628,7.90000009536743
"50",1950,30,3.20000004768372,7.90000009536743,1.39999997615814,11,19.8000011444092,49.7999992370605,27.2000007629395,8.80000019073486,1.80000007152557,9.90000057220459,6.30000019073486
"51",1951,8.30000019073486,11.1999998092651,6,2.10000014305115,7.30000019073486,28.1000003814697,38.7999992370605,42.9000015258789,14.1999998092651,1.89999997615814,6.90000009536743,10.8000001907349
"52",1952,17,3.40000009536743,6,1.60000002384186,8,49.9000015258789,52,31.5,26,2.60000014305115,4,2.20000004768372
"53",1953,3.10000014305115,6.09999990463257,4,0.5,17.5,65.4000015258789,38.4000015258789,54.4000015258789,18.1000003814697,1.20000004768372,0.699999988079071,4.30000019073486
"54",1954,12.1999998092651,3.20000004768372,8,1,8.5,47,66.9000015258789,25.3000011444092,27.6000003814697,1,3.79999995231628,8
"55",1955,9,14.1000003814697,9.40000057220459,3.40000009536743,30.3999996185303,70.3000030517578,50.4000015258789,49.1000022888184,17.2000007629395,2.20000004768372,4.80000019073486,17.8000011444092
"56",1956,9.10000038146973,15,3,1.80000007152557,11.8000001907349,47.4000015258789,44.7000007629395,52,20.1000003814697,2.60000014305115,11.8000001907349,4.80000019073486
"57",1957,33.1000022888184,10.6000003814697,5.09999990463257,1.89999997615814,7.70000028610229,19.7000007629395,27.8000011444092,18.8999996185303,14.1000003814697,2.70000004768372,4.20000028610229,6.20000028610229
"58",1958,10.1000003814697,2.20000004768372,6.20000028610229,2.40000009536743,13.1999998092651,30.1000003814697,37.5,29.3999996185303,10.8000001907349,3.20000004768372,6.59999990463257,5.20000028610229
"59",1959,1.70000004768372,17.1000003814697,5.5,1.5,22.3000011444092,31.1000003814697,82.5,39.9000015258789,18.3999996185303,2.29999995231628,6.40000009536743,6
"60",1960,16.8999996185303,8.30000019073486,2.70000004768372,3.90000009536743,7.30000019073486,31.2000007629395,54.6000022888184,46.4000015258789,33.6000022888184,2.70000004768372,5,4.80000019073486
"61",1961,3.79999995231628,4.09999990463257,2.29999995231628,5.70000028610229,11.8000001907349,44.2999992370605,56.7999992370605,61.2000007629395,29.6000003814697,3.40000009536743,6,8.30000019073486
"62",1962,17.3999996185303,13.9000005722046,12.9000005722046,5.59999990463257,16.7000007629395,63,75.5999984741211,71.5999984741211,19,1.39999997615814,2.5,7.5
