"","Year","Chronology","JunT"
"1",1901,1.07550085970038,10.4247170648746
"2",1902,1.01306817844483,11.2396679871625
"3",1903,1.12933429234714,10.8682635307131
"4",1904,0.885847860665793,10.8090387644171
"5",1905,0.939217845457108,11.3599597981322
"6",1906,1.26234542182905,11.118586227155
"7",1907,1.03854303740417,10.0822909725023
"8",1908,1.05106942403198,11.2484979013159
"9",1909,0.995797822539432,10.3149150858472
"10",1910,0.909612807381067,10.1796933110098
"11",1911,1.09171162667083,10.7414888790052
"12",1912,0.642843971242482,8.89939986069645
"13",1913,1.15617945395126,12.3527838131586
"14",1914,1.00754837141187,11.9010222513939
"15",1915,0.992850463076764,12.9433149265617
"16",1916,0.852093025021301,11.1786257930468
"17",1917,1.03528311667948,10.1058380509999
"18",1918,1.04647560811681,9.7240875407496
"19",1919,0.626781591680735,9.1331746953431
"20",1920,1.01535181182154,10.5338731872888
"21",1921,0.991166167599994,11.6280407137411
"22",1922,0.732829158582308,9.61844717699415
"23",1923,1.17591820084326,11.4083706379569
"24",1924,0.809230150583185,10.7010271710384
"25",1925,0.886253739450184,10.8989363317705
"26",1926,1.04538676747569,12.2033570597936
"27",1927,1.01202135176184,11.713893468321
"28",1928,0.9362878425997,11.2283843302491
"29",1929,1.1879753354471,11.24312305429
"30",1930,0.892049387943782,10.9534019401016
"31",1931,0.892551012736977,10.6543010934485
"32",1932,1.04322640732281,9.8415780543512
"33",1933,0.907434090077973,8.81250601409592
"34",1934,1.16869040821033,10.3664709328446
"35",1935,1.20579744648353,9.60522093857782
"36",1936,1.01272008588372,13.0327046575418
"37",1937,0.956742946533109,11.5545642151552
"38",1938,0.902481570707889,9.6773862442283
"39",1939,1.04367315794867,10.7078587720554
"40",1940,0.758331733821511,10.7519277063331
"41",1941,1.1508788876251,11.5140538924728
"42",1942,1.08863365776624,11.5966264469153
"43",1943,1.12959701081026,12.1996337874954
"44",1944,0.957636798153987,11.2206549939275
"45",1945,0.995997073776089,9.05518457787305
"46",1946,1.23328191656288,12.5972622038359
"47",1947,0.785459804338113,9.64029971325261
"48",1948,1.03130121992485,11.4779765561036
"49",1949,0.616550944521303,8.00507023091539
"50",1950,1.30955992352549,11.4181009543375
"51",1951,0.826097771189232,10.1156799338695
"52",1952,1.13853859186978,10.4985298192905
"53",1953,0.951014581941021,12.4691806829731
"54",1954,0.94580670187161,10.4314342719943
"55",1955,1.04967059556265,9.68968392648084
"56",1956,0.827010271967489,10.148199857467
"57",1957,1.03761496664311,12.5104710246662
"58",1958,1.10149560459585,13.4787012280165
"59",1959,0.943841858209153,11.8535653387989
"60",1960,1.33452040473959,9.73431759005111
"61",1961,1.03812813285301,10.519234609404
"62",1962,1.04106097056383,10.3062975549043
"63",1963,0.69601768828328,8.69391800371573
"64",1964,1.1926270327998,10.7815054283916
"65",1965,0.946335703095264,9.16975730255133
"66",1966,0.980130329137188,11.6605719171999
"67",1967,0.988001419699229,11.5566456709937
"68",1968,1.00628097133195,10.5608423236238
"69",1969,0.906852253187013,13.3754959315694
"70",1970,0.645723535811543,9.40180459051829
"71",1971,1.26907414348555,12.1394290511211
"72",1972,0.863364306752779,10.6863543887554
"73",1973,0.745271057425739,10.739015232614
"74",1974,1.08829610664086,9.99264389341976
"75",1975,1.02368724566837,11.2417711896845
"76",1976,0.905220356264211,10.9807961152443
"77",1977,1.00057444956898,11.2045703848083
"78",1978,0.858565570308203,9.40891896199675
"79",1979,1.03857351902125,10.3910569715711
"80",1980,1.17805957747857,11.4498466352094
"81",1981,0.852687843686051,9.98586261667848
"82",1982,1.37605770098891,10.9012746632976
"83",1983,0.997497796652295,11.6995677323887
"84",1984,0.901055803694263,11.685168651139
"85",1985,1.03332903936058,9.36304155197217
"86",1986,0.985764755062721,11.1382830941082
"87",1987,0.791166546821485,10.8157609062025
"88",1988,0.950544181027919,11.4998049326253
"89",1989,1.09286695907507,10.2939501345404
"90",1990,1.05582208496646,11.1007722676254
"91",1991,0.923762139079888,11.3218259605196
"92",1992,0.985289548952552,10.857680144632
"93",1993,0.71954365069482,11.2080653063292
"94",1994,0.87527739743261,9.87208502498294
"95",1995,1.04896434208405,10.948478197416
"96",1996,0.999145681799991,10.0358520367589
"97",1997,1.0860278003387,11.0328628623542
"98",1998,0.876201297100934,10.638294936333
"99",1999,1.07818397993337,11.4510555966866
"100",2000,1.07036521778743,10.8701050330844
"101",2001,0.950945102180401,10.9943576712924
"102",2002,0.960090613817646,9.92257790913633
"103",2003,0.944399334902276,10.353302746527
"104",2004,0.993005011118526,12.5847846861423
"105",2005,0.749852694432337,10.9149771502709
"106",2006,1.09243272174557,10.5416049678073
"107",2007,1.12669961138287,11.3623062850919
"108",2008,0.822222649815695,10.1748681298108
"109",2009,0.994274868535271,10.4774902377817
"110",2010,0.968724625401686,10.3690346759153
"111",2011,1.0319811391948,10.449188760848
"112",2012,0.975274805334633,10.9185395949949
"113",2013,0.919958515698794,12.9785290211733
"114",2014,0.770224770265432,9.03133968957091
"115",2015,0.971952653446286,10.8797360637338
"116",2016,0.83403962713195,10.8268822304275
"117",2017,1.19558243455367,11.0761288346158
"118",2018,1.11646225784203,10.0307797831959
"119",2019,1.1117645602471,12.293848018195
"120",2020,0.921501911206241,9.9678222559406
"121",2021,1.17201668202117,11.0544759628511
